0.1934,-0.1738,0.1728
0.2010,-0.1738,0.1726
0.2087,-0.1739,0.1723
0.2163,-0.1739,0.1719
0.2240,-0.1740,0.1715
0.2316,-0.1741,0.1709
0.2393,-0.1742,0.1703
0.2469,-0.1742,0.1696
0.2545,-0.1743,0.1688
0.2621,-0.1744,0.1680
0.2697,-0.1745,0.1670
0.2773,-0.1745,0.1661
0.2849,-0.1746,0.1650
0.2925,-0.1747,0.1639
0.3001,-0.1748,0.1628
0.3077,-0.1748,0.1616
0.3152,-0.1749,0.1604
0.3228,-0.1750,0.1591
0.3303,-0.1750,0.1579
0.3379,-0.1751,0.1565
0.3454,-0.1752,0.1552
0.3530,-0.1752,0.1538
0.3605,-0.1753,0.1524
0.3681,-0.1754,0.1510
0.3756,-0.1754,0.1496
0.3831,-0.1755,0.1482
0.3906,-0.1755,0.1467
0.3982,-0.1756,0.1453
0.4057,-0.1756,0.1439
0.4132,-0.1756,0.1424
0.4208,-0.1757,0.1410
0.4283,-0.1757,0.1396
0.4358,-0.1757,0.1382
0.4434,-0.1758,0.1368
0.4509,-0.1758,0.1354
0.4584,-0.1758,0.1341
0.4660,-0.1758,0.1327
0.4735,-0.1758,0.1314
0.4811,-0.1759,0.1301
0.4886,-0.1759,0.1289
0.4962,-0.1759,0.1277
0.5038,-0.1759,0.1265
0.5114,-0.1759,0.1253
0.5189,-0.1759,0.1242
0.5265,-0.1759,0.1232
0.5341,-0.1759,0.1221
0.5417,-0.1759,0.1212
0.5493,-0.1759,0.1203
0.5570,-0.1758,0.1194
0.5646,-0.1758,0.1186
0.5722,-0.1758,0.1178
0.5798,-0.1758,0.1170
0.5875,-0.1758,0.1164
0.5951,-0.1757,0.1157
0.6027,-0.1757,0.1151
0.6104,-0.1757,0.1146
0.6180,-0.1757,0.1141
0.6257,-0.1756,0.1137
0.6333,-0.1756,0.1133
0.6410,-0.1755,0.1130
0.6486,-0.1755,0.1127
0.6563,-0.1755,0.1125
0.6640,-0.1754,0.1123
0.6716,-0.1754,0.1122
0.6793,-0.1754,0.1122
0.6870,-0.1753,0.1122
0.6946,-0.1753,0.1123
0.7023,-0.1753,0.1125
0.7099,-0.1752,0.1127
0.7176,-0.1752,0.1130
0.7253,-0.1752,0.1134
0.7329,-0.1752,0.1139
0.7405,-0.1751,0.1144
0.7482,-0.1751,0.1149
0.7558,-0.1751,0.1156
0.7635,-0.1751,0.1163
0.7711,-0.1751,0.1172
0.7787,-0.1751,0.1181
0.7863,-0.1751,0.1191
0.7939,-0.1751,0.1202
0.8014,-0.1751,0.1214
0.8090,-0.1751,0.1227
0.8165,-0.1751,0.1242
0.8240,-0.1751,0.1258
0.8315,-0.1752,0.1275
0.8389,-0.1752,0.1293
0.8463,-0.1752,0.1313
0.8536,-0.1753,0.1335
0.8609,-0.1753,0.1358
0.8682,-0.1754,0.1383
0.8754,-0.1754,0.1410
0.8825,-0.1755,0.1438
0.8896,-0.1755,0.1468
0.8965,-0.1755,0.1500
0.9034,-0.1756,0.1534
0.9102,-0.1756,0.1570
0.9169,-0.1756,0.1607
0.9235,-0.1756,0.1646
0.9300,-0.1756,0.1686
0.9366,-0.1756,0.1725
