2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.41105, 0.0984327, 0.0217085, -2.25178, 0.898781, -0.687982
2.40227, 0.100137, -0.00622881, -2.21673, 0.938159, -0.647274
2.3932, 0.101598, -0.0339705, -2.18087, 0.977538, -0.607381
2.38385, 0.102811, -0.061527, -2.14421, 1.0169, -0.568312
2.37422, 0.103775, -0.0889086, -2.10674, 1.05623, -0.530079
2.3643, 0.104485, -0.116125, -2.06848, 1.09551, -0.492691
2.3541, 0.104942, -0.143187, -2.02941, 1.13472, -0.456159
2.3436, 0.105143, -0.170103, -1.98956, 1.17385, -0.420495
2.3328, 0.105089, -0.196882, -1.94892, 1.21287, -0.38571
2.32171, 0.104778, -0.223534, -1.9075, 1.25176, -0.351817
2.3103, 0.104213, -0.250064, -1.86529, 1.29051, -0.318827
2.29858, 0.103394, -0.276481, -1.82231, 1.32911, -0.286752
2.28653, 0.102324, -0.302791, -1.77855, 1.36752, -0.255606
2.27415, 0.101004, -0.329, -1.73402, 1.40573, -0.225402
2.26143, 0.099439, -0.355112, -1.68873, 1.44372, -0.196153
2.24835, 0.0976318, -0.381131, -1.64269, 1.48147, -0.167874
2.23491, 0.0955871, -0.407059, -1.59588, 1.51895, -0.140578
2.22109, 0.0933098, -0.432899, -1.54833, 1.55616, -0.114279
2.20689, 0.0908054, -0.458651, -1.50003, 1.59305, -0.0889931
2.19229, 0.0880801, -0.484314, -1.451, 1.62962, -0.0647346
2.17728, 0.0851405, -0.509888, -1.40123, 1.66584, -0.041519
